source,title,summary,link,published_utc,id
Yahoo Finance,BTC Reverses 3.5% Pump Ahead of CPI — Will Inflation Data Trigger a Crypto Comeback?,,https://finance.yahoo.com/news/btc-reverses-3-5-pump-151053273.html,2025-10-22 15:10:53+00:00,63caab93d00d698cafda5949881db93dcd9ca3adb2a07ac56e79d0af7eed92b3
"""stocks"" - Google News",Dow Jones Today: Stocks Slip as Earnings Reports Roll In; Gold Falls Further After Worst Day in 12 Years - Investopedia,"<a href=""https://news.google.com/rss/articles/CBMib0FVX3lxTE9OV2VpRkVVTUdxSjQ5cGQ3NlhuSlNNcUgyWF9kV1NzSUZ5bnVld2pROUdoMGhwSTZEVU9nb3FsVTRIWUI1Ml9SaU1vY09zdEgzRlQyaFhEdDY5RkliVHRFZ1lLU21mZHhUTWdfLVB5OA?oc=5"" target=""_blank"">Dow Jones Today: Stocks Slip as Earnings Reports Roll In; Gold Falls Further After Worst Day in 12 Years</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Investopedia</font>",https://news.google.com/rss/articles/CBMib0FVX3lxTE9OV2VpRkVVTUdxSjQ5cGQ3NlhuSlNNcUgyWF9kV1NzSUZ5bnVld2pROUdoMGhwSTZEVU9nb3FsVTRIWUI1Ml9SaU1vY09zdEgzRlQyaFhEdDY5RkliVHRFZ1lLU21mZHhUTWdfLVB5OA?oc=5,2025-10-22 15:07:25+00:00,f9bb90cf88b8bf85b91713b6643c27ffa144018a117a3a44723973ec7a0bf6ec
Yahoo Finance,Suze Orman: 5 Key Signs You’ve Made a Smart Investment,,https://finance.yahoo.com/news/suze-orman-5-key-signs-150708057.html,2025-10-22 15:07:08+00:00,ca799611365b6b8b5b4d515bbcb14c924f2b5dd1691e2902754a0e34961f36b6
Yahoo Finance,Cathie Wood sells $8 million of popular tech stock,,https://finance.yahoo.com/news/cathie-wood-sells-8-million-150700435.html,2025-10-22 15:07:00+00:00,6aefd315f7d2b9895db5f00fa25b5320b868f8a703edccf3fefb4cba38e330f8
Yahoo Finance,Netflix Tumbles After Q3 Earnings Miss. Is This Your Chance to Buy?,,https://finance.yahoo.com/news/netflix-tumbles-q3-earnings-miss-150656639.html,2025-10-22 15:06:56+00:00,a1983d1426e7d121b036fad8df2225ceb30f3a0b71122692edcce2e44179214d
Yahoo Finance,Boston Scientific Makes A Bullish Move After Sales In One Segment Skyrocket 63%,,https://www.investors.com/news/technology/boston-scientific-stock-boston-scientific-earnings-q3-2025/?src=A00220&yptr=yahoo,2025-10-22 15:05:18+00:00,f4272f7df711c9e7d12335d05896e8c2070aa89b6507a52f6c0e313c0e22ae06
Yahoo Finance,Freight locomotive sales power Wabtec earnings,,https://finance.yahoo.com/news/freight-locomotive-sales-power-wabtec-150346442.html,2025-10-22 15:03:46+00:00,ad63b693cdb367e71df9d479526c26627c7812abd62dd7976fdbab865091b5f3
"""stocks"" - Google News",S&P 500 Holds Near Record Before Tesla’s Earnings: Markets Wrap - Bloomberg.com,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxNMENWeERUNFVsbTlvdmxvNEpkVFVYcFVfN2VmSGotdXJVQ2UycEphd2tQS1RWWUUyczJ6WlVjc2IwcWI1R0hjYm9EV3A3endCaVBObDk0bm5XVE9kOHVfbFBndVRRd2s0ZHhoaG1RVUNNSmpMbUt0M1ZOeDlmRW51bmpKUF9Ganl1aFlPZ1JzN0tNQmk1cWpfTUdfV09YcjBpYVBkaUp6M1czVW5hUWN5Y3ZBOA?oc=5"" target=""_blank"">S&amp;P 500 Holds Near Record Before Tesla’s Earnings: Markets Wrap</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg.com</font>",https://news.google.com/rss/articles/CBMiswFBVV95cUxNMENWeERUNFVsbTlvdmxvNEpkVFVYcFVfN2VmSGotdXJVQ2UycEphd2tQS1RWWUUyczJ6WlVjc2IwcWI1R0hjYm9EV3A3endCaVBObDk0bm5XVE9kOHVfbFBndVRRd2s0ZHhoaG1RVUNNSmpMbUt0M1ZOeDlmRW51bmpKUF9Ganl1aFlPZ1JzN0tNQmk1cWpfTUdfV09YcjBpYVBkaUp6M1czVW5hUWN5Y3ZBOA?oc=5,2025-10-22 15:03:18+00:00,ff9c12b96f857f970f8a2f9613f5cc0b5801d90cabefccff30ee2942cefce55a
"""stocks"" - Google News",Stock Market Today: Investors Await Tesla Earnings; Dow Futures Little Changed — Live Updates - The Wall Street Journal,"<a href=""https://news.google.com/rss/articles/CBMiiANBVV95cUxNX19WSW13ZWMtZEpIYk9HdTRGdFE1T1JvNkp5UzJadWV1LXJTZENCWldHM29vMm9RdkdKcnhoQU8wOHpQT09ZdlRUMnIwUGNyUWR3YW1xVXpHN3VjTWNfNERsNGQ5VU1RSGk4UUo5SHJoLWN0TGk3cTZyUV91eVhaNDE1X25pV3VQWEJObkxlNGtXVjIxcWxWcHc4VDUxSndsUE14YVU0TEpSM2Q2MUF5TWhaemx6VEpYWVM0ZHN4TUNJSnExbTlqWnphdl9iTTZCSXJQSmk5d3k1Ymg2X25oZjJGbmRKZEZIVUt0ZDNMTXBPYWl3dmRyaEgzRVZ5NkxseUF2U2lNclE2dTdfdFJiRXBRR2xwWml5SEhXWG5yT19TcC1LZGJUNUdhS2JLN1o2ZFYyS1JfX3NObGxnNGl6VHFaaVg1dUJXVFh6NlctMGsxY3Y1SzRrVU1wZFVtQ0d0b1dYaWNKRmI5cHZpSGQxcFRrb3E4SW5BUW9OQWI1ZFcwZmpQZUVTNg?oc=5"" target=""_blank"">Stock Market Today: Investors Await Tesla Earnings; Dow Futures Little Changed — Live Updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Wall Street Journal</font>",https://news.google.com/rss/articles/CBMiiANBVV95cUxNX19WSW13ZWMtZEpIYk9HdTRGdFE1T1JvNkp5UzJadWV1LXJTZENCWldHM29vMm9RdkdKcnhoQU8wOHpQT09ZdlRUMnIwUGNyUWR3YW1xVXpHN3VjTWNfNERsNGQ5VU1RSGk4UUo5SHJoLWN0TGk3cTZyUV91eVhaNDE1X25pV3VQWEJObkxlNGtXVjIxcWxWcHc4VDUxSndsUE14YVU0TEpSM2Q2MUF5TWhaemx6VEpYWVM0ZHN4TUNJSnExbTlqWnphdl9iTTZCSXJQSmk5d3k1Ymg2X25oZjJGbmRKZEZIVUt0ZDNMTXBPYWl3dmRyaEgzRVZ5NkxseUF2U2lNclE2dTdfdFJiRXBRR2xwWml5SEhXWG5yT19TcC1LZGJUNUdhS2JLN1o2ZFYyS1JfX3NObGxnNGl6VHFaaVg1dUJXVFh6NlctMGsxY3Y1SzRrVU1wZFVtQ0d0b1dYaWNKRmI5cHZpSGQxcFRrb3E4SW5BUW9OQWI1ZFcwZmpQZUVTNg?oc=5,2025-10-22 15:03:00+00:00,17b4f58769fce525bfb319ff696d8bee3c74434caffe5e5abc299c5ad9f38e0f
Yahoo Finance,Hilton Stock Jumps as Luxury Brands Boost Earnings,,https://finance.yahoo.com/news/hilton-stock-jumps-luxury-brands-150141822.html,2025-10-22 15:01:41+00:00,761159722d805217c9b6f8c3aae68c26d59677250770c5a56c90dc9ae43b150d
"""stocks"" - Google News",S&P 500 Steady as Traders Weigh ‘Split’ Market; Netflix Tumbles - Bloomberg.com,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxORE9SNFFld2F4Wld6M2pzV3dlSGttVDRreXlHRFhicXRvZHZUTGxRUzlmMXpjcXNEdEV1WDNHTHpOYWJMSmh5ZmxQT1FWNFE2dUZ1LVg3N08tTl9tODh1Y2xYeWxQTkpsZElGTGM0aU1KbjVQay0xenlvSjhZRzVMUl9tWm5SX0s5VnV3c2UxemdjdFhfU1NuYjhNR2dpY2lhM05aYm9jcElSbnJHb0pLbQ?oc=5"" target=""_blank"">S&amp;P 500 Steady as Traders Weigh ‘Split’ Market; Netflix Tumbles</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bloomberg.com</font>",https://news.google.com/rss/articles/CBMisAFBVV95cUxORE9SNFFld2F4Wld6M2pzV3dlSGttVDRreXlHRFhicXRvZHZUTGxRUzlmMXpjcXNEdEV1WDNHTHpOYWJMSmh5ZmxQT1FWNFE2dUZ1LVg3N08tTl9tODh1Y2xYeWxQTkpsZElGTGM0aU1KbjVQay0xenlvSjhZRzVMUl9tWm5SX0s5VnV3c2UxemdjdFhfU1NuYjhNR2dpY2lhM05aYm9jcElSbnJHb0pLbQ?oc=5,2025-10-22 15:01:39+00:00,00df297ac7b85e2fc0fb290d5e2fe097210b61704c7aeea19acf69cd2bcc6bd6
Yahoo Finance,"Bitcoin Primed for $100K before 'Uptober' Resumes, Says Standard Chartered",,https://finance.yahoo.com/news/bitcoin-primed-100k-uptober-resumes-145913745.html,2025-10-22 14:59:13+00:00,98850ee7a90b5c350a0cb7fc411476fceff4496681f42ac4490209d81ac97732
Yahoo Finance,Amphenol Earnings Growth Accelerates Again. But The AI Play Slashes Early Gain.,,https://www.investors.com/news/amphenol-earnings-ai-play/?src=A00220&yptr=yahoo,2025-10-22 14:57:26+00:00,4e44c52f87771973b955d2566db63d394abc07c6836b5d664b9d04f203571526
Yahoo Finance,Analyst Explains Why He Likes Advanced Micro Devices (AMD) – Says There Are ‘Other Options’ Beyond Nvidia,,https://finance.yahoo.com/news/analyst-explains-why-likes-advanced-145127899.html,2025-10-22 14:51:27+00:00,53509b87b4ac5dfe1926c84591217838a52a66b46ffe2ee1bffb6a75524676d2
"""stocks"" - Google News","Stock Market Today: Dow drops over 150 points, Nasdaq and S&P 500 fall as tech rally takes a pause; Tesla and IBM earnings on tap - MarketWatch","<a href=""https://news.google.com/rss/articles/CBMixANBVV95cUxNX1BpdHd6bG9nUFBwMkU1NTVhTl83Tmp1NHY2NGNMSWJKZWZDY2VBbVhwWGVCcVBxMHFrRnJZeWZZR3dYelByY0I0Z1Bta05naWFLS2htZVJzTDUwcmx3MUJ0Ml9GZTZvLU1LbjR3OV8wM0o5U2ZVSkE5b20wM2lFcFh1ZkNqLWpIYWs4UHFNak5VV3hTWm9jMnJWTWlROHFvMG9fU1RqbndvNDczWkZqc3E4cU93MHB3Ukl6T3dlU0xhSGc1M3BxZDhId1VpRFl2NWxXbGtHNUpPSEZaN3dxUHg3VXFGQURZZk91V1c5RklrVTU3Y0JMMm5vSzdTWEJQZmFjQkVrQjIxS2ZGM09Cdkx4RXdWaVJyVWRMQjdldmktazBXRDJqOWQ3QW9VNDMxb3ctT3FVUlBpRzdFcnB1U25pZjFac1YzYTcwc3o2T0Z5WlZMNWZ4OFVUNURVbG9rdGlDa29PdUVtQ25LckNOUEl4ZkI3M3lZaVNxeGZQVE11TjdpWFZKWERzYzNTbFBOMi1ycmtLSlFRRVpRUW8wR2t4QnhmWTgwcFp0WHhWQnlUa2VXSXAtZHAxQ19UdlJLbkQ1YQ?oc=5"" target=""_blank"">Stock Market Today: Dow drops over 150 points, Nasdaq and S&amp;P 500 fall as tech rally takes a pause; Tesla and IBM earnings on tap</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketWatch</font>",https://news.google.com/rss/articles/CBMixANBVV95cUxNX1BpdHd6bG9nUFBwMkU1NTVhTl83Tmp1NHY2NGNMSWJKZWZDY2VBbVhwWGVCcVBxMHFrRnJZeWZZR3dYelByY0I0Z1Bta05naWFLS2htZVJzTDUwcmx3MUJ0Ml9GZTZvLU1LbjR3OV8wM0o5U2ZVSkE5b20wM2lFcFh1ZkNqLWpIYWs4UHFNak5VV3hTWm9jMnJWTWlROHFvMG9fU1RqbndvNDczWkZqc3E4cU93MHB3Ukl6T3dlU0xhSGc1M3BxZDhId1VpRFl2NWxXbGtHNUpPSEZaN3dxUHg3VXFGQURZZk91V1c5RklrVTU3Y0JMMm5vSzdTWEJQZmFjQkVrQjIxS2ZGM09Cdkx4RXdWaVJyVWRMQjdldmktazBXRDJqOWQ3QW9VNDMxb3ctT3FVUlBpRzdFcnB1U25pZjFac1YzYTcwc3o2T0Z5WlZMNWZ4OFVUNURVbG9rdGlDa29PdUVtQ25LckNOUEl4ZkI3M3lZaVNxeGZQVE11TjdpWFZKWERzYzNTbFBOMi1ycmtLSlFRRVpRUW8wR2t4QnhmWTgwcFp0WHhWQnlUa2VXSXAtZHAxQ19UdlJLbkQ1YQ?oc=5,2025-10-22 14:50:00+00:00,cd4dde12775781edd901855afdb810ce3104da173bd9ae2a313f6d27b73a3395
"""stocks"" - Google News",AI stocks are driving the S&P 500. Here’s how it affects your portfolio - CNBC,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxORnBsY3ZmMzhib3MydmttcW0yZFd0U0ttd09TWHlxSzNiaVcyc0RHaTdERUFpNFR5WHR0ZHlXdE01Yi04TXkyRmlNV1pucGpOdXh4cWhfb01ueVVaX0lFMWJHUnNqVVNKdG13MTdBQkhhaEZGVzBpdlM2azFRNGZaTE40R3VFSVNXdzFjcE1mSmhBMHQ2Nl9IVTRCTUJvcEZiQk9zQlNSVXV4WER2SXFkcg?oc=5"" target=""_blank"">AI stocks are driving the S&amp;P 500. Here’s how it affects your portfolio</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC</font>",https://news.google.com/rss/articles/CBMisAFBVV95cUxORnBsY3ZmMzhib3MydmttcW0yZFd0U0ttd09TWHlxSzNiaVcyc0RHaTdERUFpNFR5WHR0ZHlXdE01Yi04TXkyRmlNV1pucGpOdXh4cWhfb01ueVVaX0lFMWJHUnNqVVNKdG13MTdBQkhhaEZGVzBpdlM2azFRNGZaTE40R3VFSVNXdzFjcE1mSmhBMHQ2Nl9IVTRCTUJvcEZiQk9zQlNSVXV4WER2SXFkcg?oc=5,2025-10-22 14:49:39+00:00,b46a5bb5f1ee470958c99e2b8b501aeb31404bc485e401892cc62e3e7d51c3e1
Yahoo Finance,Stock Market Today: Dow Slides As Gold Loses Its Luster; Data Leader Dives (Live Coverage),,https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-netflix-nflx-stock-tesla-earnings-tsla-stock/?src=A00220&yptr=yahoo,2025-10-22 14:42:24+00:00,8057cc885fc531ab08ea1954022943d3aa7cc05b49e3a2dec8643f88d27c96ed
Yahoo Finance,Tesla Earnings: What To Expect From Results And The Elon Musk Call,,https://www.investors.com/news/tesla-earnings-elon-musk-conference-call-tesla-stock/?src=A00220&yptr=yahoo,2025-10-22 14:41:34+00:00,045abb5cabfb9fe117aa7922cfb8a51aaba38f3441166cc7d6ff68da3f6113e5
"""NGX stocks"" - Google News","Stock market nears N100trn as Index crosses 153,000 points - Businessday NG","<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxNWHN0OXRXS3FFUGRZXy1uNWJNaVBLOU9kZzJRYWFkT054QVVRTnpJemdibXlJOGx2bkNNYzFTVE1UVDNNZVVfVHVfcEx3NS1rWUR0TWhDTnNmbVJDUE94OUhSb1cxU0FYS01pSXYxYUMwZXM2SzJuUERvckRWVzhZb3pjNDNCdXJGU09uakltMVVwR3ZCYVlUU0pCT3VPUQ?oc=5"" target=""_blank"">Stock market nears N100trn as Index crosses 153,000 points</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Businessday NG</font>",https://news.google.com/rss/articles/CBMingFBVV95cUxNWHN0OXRXS3FFUGRZXy1uNWJNaVBLOU9kZzJRYWFkT054QVVRTnpJemdibXlJOGx2bkNNYzFTVE1UVDNNZVVfVHVfcEx3NS1rWUR0TWhDTnNmbVJDUE94OUhSb1cxU0FYS01pSXYxYUMwZXM2SzJuUERvckRWVzhZb3pjNDNCdXJGU09uakltMVVwR3ZCYVlUU0pCT3VPUQ?oc=5,2025-10-22 14:40:21+00:00,e72339421b397d91bf57b73a9b6254c3f08009a410a4d0c08b7edef15dba802d
Yahoo Finance,"AT&T Earnings In-Line, Wireless Subscriber Growth Tops Estimates",,https://www.investors.com/news/technology/att-stock-att-earnings-wireless-subscriber/?src=A00220&yptr=yahoo,2025-10-22 14:33:33+00:00,b1d4e868f590414e733d65932b8ae8d71061a69b3d2dc0ef5e92a2a61418a6fc
"""stocks"" - Google News",Stocks Settle Mixed on Strong Earnings and Weakness in Mining Stocks - Nasdaq,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxQV0pTR1RuV3M0S2c4SEgwTFhIV3VQcW9CX3NqZ0Z0WlNJVDA1Y1NEMTBzc2lreHNtRjFXejFLRFc3cTFQUjc2dElmelFBRnA4RnRwVHoxWlZDampCampsSlhvSndoUjFRUDk3VlNXUXJULW5VUV9iamJyT0NqQ0poQndBVFc1aExJTXhwY0RJZWNZbE4yZWloNll3?oc=5"" target=""_blank"">Stocks Settle Mixed on Strong Earnings and Weakness in Mining Stocks</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nasdaq</font>",https://news.google.com/rss/articles/CBMimgFBVV95cUxQV0pTR1RuV3M0S2c4SEgwTFhIV3VQcW9CX3NqZ0Z0WlNJVDA1Y1NEMTBzc2lreHNtRjFXejFLRFc3cTFQUjc2dElmelFBRnA4RnRwVHoxWlZDampCampsSlhvSndoUjFRUDk3VlNXUXJULW5VUV9iamJyT0NqQ0poQndBVFc1aExJTXhwY0RJZWNZbE4yZWloNll3?oc=5,2025-10-22 14:29:00+00:00,50c7192716b47ce6562baf56cbf51f9722e0b9dee905e980da17f214b61bdace
Yahoo Finance,UK data centre spend to soar to £10 billion a year - Barbour ABI,,https://finance.yahoo.com/news/uk-data-centre-spend-soar-142702869.html,2025-10-22 14:27:02+00:00,ea8d6cbc2750529c8491e95fade8157b63db50452cdb9306001cad3e6ce181e3
